symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2019-01-09 00:00:00+00:00,153.31,154.53,149.63,151.29,45099081,36.8830818936,37.1765876004,35.9977532042,36.3971134282,180396324,0.0,1.0
AAPL,2019-01-10 00:00:00+00:00,153.8,153.97,150.86,152.5,35780670,37.0009653332,37.0418636694,36.2936646955,36.6882133505,143122680,0.0,1.0
AAPL,2019-01-11 00:00:00+00:00,152.29,153.7,151.51,152.88,27023241,36.6376918764,36.9769074884,36.4500406868,36.7796331609,108092964,0.0,1.0
AAPL,2019-01-14 00:00:00+00:00,150.0,151.27,149.22,150.85,32439186,36.08676723,36.3923018593,35.8991160404,36.291258911,129756744,0.0,1.0
AAPL,2019-01-15 00:00:00+00:00,153.07,153.39,150.05,150.27,28710324,36.825343066,36.9023281694,36.0987961525,36.1517234111,114841296,0.0,1.0
AAPL,2019-01-16 00:00:00+00:00,154.94,155.88,153.0,153.08,30569706,37.2752247642,37.5013685055,36.8085025746,36.8277488505,122278824,0.0,1.0
AAPL,2019-01-17 00:00:00+00:00,155.86,157.66,153.26,154.2,29821160,37.4965569365,37.9295981433,36.8710529712,37.0971967125,119284640,0.0,1.0
AAPL,2019-01-18 00:00:00+00:00,156.82,157.88,155.98,157.5,33751023,37.7275122468,37.9825254019,37.5254263503,37.8911055915,135004092,0.0,1.0
AAPL,2019-01-22 00:00:00+00:00,153.3,156.73,152.62,156.41,30393970,36.8806761091,37.7058601864,36.7170827643,37.628875083,121575880,0.0,1.0
AAPL,2019-01-23 00:00:00+00:00,153.92,155.14,151.7,154.15,23130570,37.029834747,37.3233404538,36.495750592,37.0851677901,92522280,0.0,1.0
AAPL,2019-01-24 00:00:00+00:00,152.7,154.48,151.74,154.11,25441549,36.7363290402,37.164558678,36.5053737299,37.0755446521,101766196,0.0,1.0
AAPL,2019-01-25 00:00:00+00:00,157.76,158.13,154.32,155.48,33547893,37.9536559881,38.0426700139,37.1260661263,37.4051371262,134191572,0.0,1.0
AAPL,2019-01-28 00:00:00+00:00,156.3,156.33,153.66,155.79,26192058,37.6024114537,37.6096288071,36.9672843505,37.4797164451,104768232,0.0,1.0
AAPL,2019-01-29 00:00:00+00:00,154.68,158.13,154.11,156.25,41587239,37.2126743676,38.0426700139,37.0755446521,37.5903825313,166348956,0.0,1.0
AAPL,2019-01-30 00:00:00+00:00,165.25,166.15,160.23,163.25,61109780,39.7555885651,39.9721091685,38.5478847551,39.2744316687,244439120,0.0,1.0
AAPL,2019-01-31 00:00:00+00:00,166.44,169.0,164.56,166.11,40739649,40.0418769185,40.6577577458,39.5895894358,39.9624860305,162958596,0.0,1.0
AAPL,2019-02-01 00:00:00+00:00,166.52,168.98,165.93,166.96,32668138,40.0611231943,40.6529461769,39.9191819099,40.1669777115,130672552,0.0,1.0
AAPL,2019-02-04 00:00:00+00:00,171.25,171.66,167.28,167.41,31495582,41.1990592543,41.2976964181,40.2439628149,40.2752380132,125982328,0.0,1.0
